tier,date,drifted_asset,drift_amount
Aggressive,2013-05-03,AMZN,-0.05004545321936971
Aggressive,2013-12-10,ADBE,-0.05036864511559652
Aggressive,2014-02-12,ADBE,0.059749100521233056
Aggressive,2014-10-24,AMZN,-0.05155363914208877
Aggressive,2015-04-24,AMZN,0.0691482077544654
Aggressive,2015-10-28,AMZN,0.050497138562228594
Conservative,2017-12-18,SO,-0.05070130776744927
Moderate,2013-10-17,BA,0.05352135090357524
Moderate,2015-01-15,UNH,0.05287816185596139
Moderate,2015-07-22,AMZN,0.05002171129628276
Moderate,2016-05-24,BA,-0.05163474922952402
Moderate,2017-07-26,BA,0.0532364782634282
